,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
65,ru000a1026b3 ,башкорт20 ,10.3,20,27026,rub,700.0,sur,91.93,"91,16","92,02","92,02",15.5,,- ,- ,24.09.25,,"92,02","2,26",16.04.24,349,15.6181,349.0,122.0,117.0,16.04.24 18:39,5.89
66,ru000a0zz9p8 ,самаробл14 ,8.36,15,25584,rub,450.0,sur,91.7,"91,32",92,"91,99",15.26,,- ,- ,04.06.26,,"91,99","3,67",16.04.24,437,15.5662,436.0,110.0,101.0,16.04.24 18:39,7.43
67,ru000a101pa0 ,белоб34014 ,11.03,11,21946,rub,750.0,sur,94.39,"94,21","94,48","94,48",15.55,,- ,- ,16.05.25,,"94,48","7,27",16.04.24,235,15.7184,235.0,117.0,106.0,16.04.24 18:39,5.88
68,ru000a101ug7 ,свердлобл7 ,10.85,2,19136,rub,750.0,sur,94.5,"94,5","94,5","94,5",15.27,,- ,- ,28.06.25,,"94,5","2,62",16.04.24,240,15.2661,240.0,88.0,78.0,16.04.24 18:39,5.79
69,ru000a0zykj1 ,спбго35002 ,19.07,16,18506,rub,500.0,sur,88.12,"87,58","88,19","88,19",14.81,,- ,- ,04.12.26,,"88,19","13,62",16.04.24,701,14.8527,701.0,84.0,76.0,16.04.24 18:39,15.26
70,ru000a0zzr33 ,липецкоб10 ,6.41,12,18423,rub,300.0,sur,94.48,"94,2","94,54","94,49",15.43,,- ,- ,21.10.25,,"94,49","5,92",16.04.24,342,15.4384,342.0,114.0,108.0,16.04.24 18:39,8.55
71,ru000a101wd0 ,яробл35018 ,5.98,7,18369,rub,400.0,sur,86.65,"86,45","87,5","86,45",14.71,,- ,- ,24.05.26,,"86,45","3,35",16.04.24,675,14.5645,675.0,67.0,64.0,16.04.24 18:39,5.98
72,ru000a101z17 ,свердлобл8 ,15.21,8,17019,rub,1000.0,sur,85.1,"85,01","85,53","85,29",15.03,,- ,- ,29.07.27,,"85,29","13,7",16.04.24,708,15.1584,707.0,112.0,99.0,16.04.24 18:39,6.08
73,ru000a102598 ,липецкоб12 ,5.73,13,15586,rub,400.0,sur,92.77,"92,2","93,75","93,75",13.88,,- ,- ,16.09.25,,"92,77","1,76",16.04.24,318,15.2554,317.0,-43.0,-49.0,16.04.24 18:39,5.73
74,ru000a1013t3 ,липецкоб11 ,3.29,15,12924,rub,200.0,sur,96.44,"95,51","96,81","95,86",14.67,,- ,- ,21.11.24,,"95,86","1,95",16.04.24,213,13.509,213.0,15.0,14.0,16.04.24 18:39,6.58
76,ru000a0jxs83 ,яробл 2017 ,18.32,7,8100,rub,875.0,sur,92.58,"92,39","92,66","92,65",14.44,,- ,- ,20.04.27,,"92,65","16,92",16.04.24,519,14.4983,519.0,43.0,25.0,16.04.24 18:39,8.37
77,ru000a0zznj2 ,якут-11 об ,8.93,8,6898,rub,400.0,sur,95.81,"95,7","95,88","95,7",15.04,,- ,- ,24.09.25,,"95,7","4,9",16.04.24,304,14.8871,304.0,72.0,65.0,16.04.24 18:39,8.93
78,ru000a1033b9 ,якут-35015 ,14.46,5,6883,rub,800.0,sur,86.04,"85,88","86,27","85,89",14.11,,- ,- ,08.05.28,,"85,89","10,17",16.04.24,896,14.0262,897.0,36.0,24.0,16.04.24 18:39,7.23
79,ru000a102h34 ,ставркрай4 ,11.59,5,5988,rub,750.0,sur,88.71,"88,67","88,94","88,67",15.7,,- ,- ,14.12.27,,"88,68","4,46",16.04.24,500,15.6579,501.0,170.0,149.0,16.04.24 18:39,6.18
80,ru000a1025f6 ,белоб34016 ,4.83,8,5935,rub,340.0,sur,96.98,"96,88","97,13",97,14.65,,- ,- ,18.09.25,,97,"1,38",16.04.24,134,14.7171,134.0,19.0,-5.0,16.04.24 18:39,5.68
81,ru000a101rb4 ,белоб34015 ,10.41,2,5425,rub,720.0,sur,94.19,"94,18","94,22","94,18",15.27,,- ,- ,29.05.25,,"94,18","5,38",16.04.24,254,15.2535,254.0,91.0,81.0,16.04.24 18:39,5.78
82,ru000a0jwt91 ,удмурт2016 ,26.3,5,4712,rub,1000.0,sur,94.23,"94,21","94,24","94,24",14.79,,- ,- ,19.09.26,,"94,24","6,94",16.04.24,632,14.7989,632.0,77.0,69.0,16.04.24 18:39,10.52
83,ru000a0zzem5 ,яробл35016 ,10.9,5,3118,rub,550.0,sur,94.48,"94,27","94,57","94,51",14.89,,- ,- ,21.09.25,,"94,5","2,76",16.04.24,339,14.9244,339.0,57.0,54.0,16.04.24 18:39,7.93
84,ru000a0zzc48 ,красяркр15 ,3.77,6,1712,rub,200.0,sur,95.08,"94,77","95,61",95,15.04,,- ,- ,26.06.25,,95,"0,59",16.04.24,287,14.9164,287.0,67.0,63.0,16.04.24 18:39,7.54
85,ru000a1020l5 ,самаробл15 ,10.12,1,1275,rub,700.0,sur,91.07,"91,07","91,07","91,07",14.07,,- ,- ,04.08.26,,"91,07","7,79",16.04.24,448,14.0697,448.0,-7.0,-17.0,16.04.24 18:39,5.78
86,ru000a102k88 ,спбго35004 ,29.42,1,982,rub,1000.0,sur,98.16,"98,16","98,16","98,16",6.62,,- ,- ,28.09.28,,"98,16","1,94",16.04.24,1129,01.06.22,1129.0,-701.0,-705.0,16.04.24 18:39,11.77
87,ru000a1043e2 ,новосиб 22 ,22.51,1,950,rub,1000.0,sur,95.0,95,95,95,11.4,,- ,- ,14.11.28,,95,"21,52",16.04.24,973,01.11.32,973.0,-227.0,-240.0,16.04.24 18:39,9.0
88,ru000a0zymj7 ,томскоб 62 ,4.67,3,723,rub,250.0,sur,96.41,"96,41","96,42","96,41",13.79,,- ,- ,19.12.24,,"96,41","1,34",16.04.24,240,13.794,240.0,-69.0,-69.0,16.04.24 18:39,7.47
89,ru000a102g35 ,мособ35016 ,11.13,1,674,rub,750.0,sur,89.87,"89,87","89,87","89,87",15.43,,- ,- ,30.11.27,,"89,87","5,13",16.04.24,440,15.4339,440.0,145.0,118.0,16.04.24 18:39,5.94
90,ru000a1010d3 ,якут-13 об ,12.13,1,634,rub,700.0,sur,90.5,"90,5","90,5","90,5",14.68,,- ,- ,02.11.26,,"90,5","9,46",16.04.24,517,14.6825,517.0,64.0,49.0,16.04.24 18:39,6.93
91,ru000a0zzm87 ,красяркр16 ,6.51,1,588,rub,300.0,sur,98.04,"98,04","98,04","98,04",12.06,,- ,- ,12.09.25,,"98,04","2,29",16.04.24,256,01.12.81,256.0,-229.0,-240.0,16.04.24 18:39,8.68
